iter	Passed	Remaining
779	2811	793
780	2814	789
781	2818	785
782	2821	781
783	2824	778
784	2827	774
785	2830	770
786	2834	767
787	2837	763
788	2840	759
789	2843	755
790	2846	752
791	2849	748
792	2853	744
793	2856	741
794	2860	737
795	2863	733
796	2866	730
797	2869	726
798	2873	722
799	2876	719
800	2880	715
801	2883	711
802	2886	708
803	2889	704
804	2893	700
805	2896	697
806	2900	693
807	2903	689
808	2907	686
809	2911	682
810	2914	679
811	2917	675
812	2921	671
813	2924	668
814	2930	665
815	2934	661
816	2938	658
817	2941	654
818	2944	650
819	2948	647
820	2955	644
821	2958	640
822	2961	636
823	2968	634
824	2971	630
825	2975	626
826	2979	623
827	2983	619
828	2987	616
829	2990	612
830	2994	608
831	2998	605
832	3003	602
833	3007	598
834	3010	594
835	3013	591
836	3017	587
837	3020	583
838	3023	580
839	3027	576
840	3033	573
841	3037	569
842	3040	566
843	3044	562
844	3052	559
845	3059	556
846	3068	554
847	3073	550
848	3076	547
849	3081	543
850	3085	540
851	3088	536
852	3092	532
853	3095	529
854	3100	525
855	3103	522
856	3106	518
857	3110	514
858	3113	511
859	3116	507
860	3119	503
861	3122	499
862	3125	496
863	3128	492
864	3131	488
865	3134	485
866	3137	481
867	3140	477
868	3144	474
869	3148	470
870	3150	466
871	3153	462
872	3156	459
873	3159	455
874	3162	451
875	3165	448
876	3168	444
877	3171	440
878	3174	437
879	3177	433
880	3180	429
881	3183	425
882	3187	422
883	3190	418
884	3193	414
885	3196	411
886	3199	407
887	3202	403
888	3205	400
889	3209	396
890	3212	392
891	3215	389
892	3218	385
893	3221	381
894	3224	378
895	3227	374
896	3230	370
897	3233	367
898	3236	363
899	3239	359
900	3242	356
901	3246	352
902	3249	349
903	3252	345
904	3255	341
905	3257	338
906	3260	334
907	3263	330
908	3267	327
909	3271	323
910	3274	319
911	3277	316
912	3280	312
913	3283	308
914	3286	305
915	3289	301
916	3293	298
917	3297	294
918	3301	290
919	3305	287
920	3309	283
921	3312	280
922	3315	276
923	3319	273
924	3322	269
925	3326	265
926	3329	262
927	3333	258
928	3337	255
929	3340	251
930	3344	247
931	3347	244
932	3351	240
933	3354	237
934	3358	233
935	3362	229
936	3366	226
937	3370	222
938	3373	219
939	3376	215
940	3378	211
941	3381	208
942	3384	204
943	3387	200
944	3390	197
945	3394	193
946	3397	190
947	3401	186
948	3404	182
949	3407	179
950	3410	175
951	3414	172
952	3417	168
953	3419	164
954	3423	161
955	3426	157
956	3430	154
957	3434	150
958	3437	146
959	3441	143
960	3444	139
961	3446	136
962	3449	132
963	3452	128
964	3456	125
965	3459	121
966	3461	118
967	3464	114
968	3467	110
969	3471	107
970	3474	103
971	3479	100
972	3482	96
973	3486	93
974	3490	89
975	3493	85
976	3496	82
977	3499	78
978	3503	75
979	3507	71
980	3511	68
981	3514	64
982	3517	60
983	3520	57
984	3523	53
985	3526	50
986	3529	46
987	3532	42
988	3535	39
989	3538	35
990	3541	32
991	3544	28
992	3546	25
993	3550	21
994	3554	17
995	3559	14
996	3562	10
997	3565	7
998	3568	3
999	3571	0
